번호,단어,뜻,예문,유의어
91,prioritize,우선순위를 정하다,We need to prioritize our tasks for the day.,"rank, focus on, put first"
92,proceed,"진행하다, 나아가다",We can now proceed with the next step.,"continue, advance, move forward"
93,proficient,"능숙한, 숙련된",She is proficient in both English and Spanish.,"skilled, expert, competent"
94,proposal,"제안, 제안서",The committee approved the proposal.,"suggestion, plan, offer"
95,reliable,신뢰할 수 있는,The new product is very reliable.,"dependable, trustworthy, consistent"
96,resume,이력서,Please submit your resume by Friday.,"CV, portfolio, application"
97,strategy,전략,The company is developing a new marketing strategy.,"plan, approach, tactic"
98,substantial,"상당한, 실질적인",The company made a substantial investment in the new technology.,"considerable, significant, large"
99,transaction,거래,All transactions are recorded in the system.,"deal, business, exchange"
100,transparent,투명한,The company's financial records are completely transparent.,"clear, open, obvious"
